"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
舞蹈,wŭdào ,N,,
誤點,wùdiăn ,Vp,,
誤會,wùhuì ,Vst,,
無可奈何,wúkěnàihé ,Vs,,
物理,wùlĭ,N,,
無論,wúlùn ,Conj,,
武器,wŭqì ,N,,
無情,wúqíng ,Vs,,
無數,wúshù ,Det,,
武術,wŭshù ,N,,
舞台/舞臺,wŭtái ,N,,
舞廳,wŭtīng ,N,,
無限,wúxiàn ,Vs,,
無意,wúyì ,Vs,,
物質,wùzhí ,N,,
系,xì,N,,
吸,xī ,V,,
瞎,xiā ,Vp,,
蝦(子),xiā(zi),N,,
下巴,xiàbā,N,,
下降,xiàjiàng  ,Vp,,
下來,xiàlái  ,N,,
蝦米,xiāmĭ,N,,
閒,xián ,Vs,,
嫌,xián ,Vst,,
現,xiàn ,Adv,,
鮮,xiān ,Vs,,
現場,xiànchăng ,N,,
現成,xiànchéng ,Vs-attr,,
顯得,xiănde ,Vs,,
相,xiāng ,Adv,,
巷(子),xiàng(zi),N,,
象/大象,xiàng/dàxiàng ,N,,
想不到,xiăngbùdào ,,,
香腸,xiāngcháng ,N,,
相處,xiāngchŭ ,Vi,,
鄉村,xiāngcūn ,N,,
相當,xiāngdāng ,Vs,,
相互,xiānghù ,Adv,,
向來,xiànglái ,Adv,,
項目,xiàngmù ,N,,
想念,xiăngniàn ,Vst,,
相親,xiàngqīn ,V-sep,,
相親相愛,xiāngqīnxiāngài ,Vs,,
享受,xiăngshòu ,Vst,,
相似,xiāngsì ,Vs,,
響應,xiăngyìng ,V,,
享有,xiăngyŏu ,Vst,,
鮮花,xiānhuā ,N,,
現金,xiànjīn ,N,,
先進,xiānjìn ,Vs,,
羨慕,xiànmù ,Vst,,
鮮奶,xiānnăi ,N,,
顯然,xiănrán ,Adv,,
顯示,xiănshì ,V,,
鮮血,xiānxiě ,N,,
限制,xiànzhì ,V,,
顯著,xiănzhù ,Vs,,
消,xiāo ,Vp,,
小便,xiăobiàn ,Vi,,
校車,xiàochē ,N,,
消除,xiāochú ,V,,
曉得,xiăode ,Vst,,
小販,xiăofàn ,N,,
消費,xiāofèi ,N / V,,
消化,xiāohuà ,V,,
消極,xiāojí ,Vs,,
效率,xiàolǜ,N,,
銷路,xiāolù ,N,,
小麥,xiăomài ,N,,
消滅,xiāomiè ,Vpt,,
小氣,xiăoqì ,Vs,,
笑容,xiàoróng ,N,,
消失,xiāoshī ,Vp,,
銷售,xiāoshòu ,V,,
小腿,xiăotuĭ,N,,
消夜/宵夜,xiāoyè ,N,,
校友,xiàoyŏu ,N,,
小子,xiăozi ,N,,
下棋,xiàqí  ,V-sep,,
下去,xiàqù,Ptc,,
下午茶,xiàwŭchá  ,N,,
下游,xiàyóu  ,N,,
細胞,xìbāo  ,N,,
斜,xié ,Vs,,
歇,xiē ,Vi,,
血管,xiěguăn ,N,,
血型,xiěxíng ,N,,
血液,xiěyè ,N,,
寫作,xiězuò ,Vi,,
媳婦,xífù ,N,,
細節,xìjié  ,N,,
喜酒,xĭjiŭ ,N,,
喜劇,xĭjù ,N,,
細菌,xìjùn  ,N,,
系列,xìliè  ,N,,
行程,xíngchéng ,N,,
形成,xíngchéng ,Vpt,,
行動,xíngdòng ,Vi,,
星光,xīngguāng ,N,,
行人,xíngrén ,N,,
形式,xíngshì ,N,,
形象,xíngxiàng ,N,,
性質,xìngzhí ,N,,
形狀,xíngzhuàng ,N,,
信號,xìnhào ,N,,
新郎,xīnláng ,N,,
心靈,xīnlíng ,N,,
心目中,xīnmùzhōng ,N,,
新娘,xīnniáng ,N,,
信任,xìnrèn ,Vst,,
心聲,xīnshēng ,N,,
新式,xīnshì ,Vs-attr,,
薪水,xīnshuĭ ,N,,
心跳,xīntiào ,N,,
新興,xīnxīng ,Vs-attr,,
信仰,xìnyăng ,N / Vst,,
信用,xìnyòng ,N,,
心臟,xīnzàng ,N,,
雄偉,xióngwěi ,Vs,,
吸取,xīqŭ ,V,,
吸食,xīshí ,V,,
休假,xiūjià ,V-sep,,
休閒,xiūxián  ,Vi,,
修正,xiūzhèng  ,V,,
細小,xìxiăo  ,Vs,,
吸菸,xīyān ,V-sep,,
西裝,xīzhuāng ,N,,
許,xŭ ,V,,
懸,xuán ,V,,
宣布/宣佈,xuānbù,V,,
宣傳,xuānchuán ,N / V,,
選手,xuănshŏu ,N,,
靴(子),xuē(zi),N,,
雪花,xuěhuā ,N,,
學會,xuéhuì ,N,,
削減,xuèjiăn ,V,,
學歷,xuélì ,N,,
學術,xuéshù ,N,,
學位,xuéwèi ,N,,
學業,xuéyè ,N,,
學者,xuézhě ,N,,
尋,xún ,V,,
循環,xúnhuán ,Vi,,
迅速,xùnsù ,Vs,,
許願,xŭyuàn  ,V-sep,,
須知,xūzhī  ,N,,
壓,yā ,V,,
壓力,yālì ,N,,
煙/菸,yān,N,,
沿,yán ,Prep,,
嚴,yán ,Vs,,
鹽巴,yánbā ,N,,
延長,yáncháng ,V,,
演唱,yănchàng ,V,,
癢,yăng ,Vs,,
掩蓋,yăngài ,V,,
嚴格,yángé ,Vs,,
樣品,yàngpĭn ,N,,
氧氣,yăngqì ,N,,
宴會,yànhuì ,N,,
研究所,yánjiùsuŏ,N,,
嚴肅,yánsù ,Vs,,
厭惡,yànwù ,Vs,,
演奏,yănzòu ,V,,
搖,yáo ,V,,
喲,yāo ,Ptc,,
腰,yāo ,N,,
搖擺,yáobăi ,V,,
要不,yàobù ,Conj,,
藥方,yàofāng ,N,,
要好,yàohăo ,Vs,,
要命,yàomìng ,Vs,,
藥水,yàoshuĭ ,N,,
搖頭,yáotóu ,V-sep,,
藥物,yàowù ,N,,
壓迫,yāpò ,V,,
野,yě ,Vs,,
葉(子),yè(zi) ,M / N,,
夜景,yèjĭng ,N,,
野獸,yěshòu ,N,,
業務,yèwù ,N,,
野心,yěxīn ,N,,
業餘,yèyú ,Vs-attr,,
乙,yĭ,N,,
以,yĭ,Conj,,
移,yí ,V,,
易,yì ,Vs,,
億,yì ,N,,
醫,yī ,V,,
一般而言,yībānéryán ,Conj,,
以便,yĭbiàn ,Conj,,
一帶,yīdài ,N,,
一旦,yīdàn ,Conj,,
一大早,yīdàzăo ,N,,
移動,yídòng ,V,,
議會,yìhuì ,N,,
已婚,yĭhūn,Vs,,
依據,yījù ,N,,
一口氣,yīkŏuqì ,Adv,,
一面,yīmiàn ,Adv,,
移民,yímín ,Vp,,
銀,yín ,N,,
印,yìn ,V,,
飲,yĭn ,V,,
因而,yīnér ,Conj,,
引發,yĭnfā ,V,,
硬,yìng ,Vs,,
影(子),yĭng(zi) ,N,,
影本,yĭngběn ,N,,
應當,yīngdāng ,Adv,,
贏得,yíngdé ,Vpt,,
嬰兒,yīngér ,N,,
應付,yìngfù ,V,,
迎接,yíngjiē ,V,,
英雄,yīngxióng ,N,,
營養,yíngyăng ,Vs,,
應邀,yìngyāo ,Vi,,
營業,yíngyè ,Vi,,
影印,yĭngyìn ,V,,
應用,yìngyòng ,V,,
飲食,yĭnshí ,N,,
印刷,yìnshuā ,Vi,,
因素,yīnsù ,N,,
印象,yìnxiàng ,N,,
印章,yìnzhāng ,N,,
一旁,yīpáng ,N,,
儀器,yíqì ,N,,
一齊,yīqí ,Adv,,
依然,yīrán ,Adv,,
衣裳,yīshang ,N,,
儀式,yíshì ,N,,
意識,yìshì ,N,,
一天到晚,yītiāndàowăn ,Adv,,
意外,yìwài ,Vs,,
以往,yĭwăng ,N,,
疑問,yíwèn ,N,,
義務,yìwù ,N,,
醫學,yīxué ,N,,
一一,yīyī ,Adv,,
意願,yìyuàn,N,,
一再,yīzài ,Adv,,
意志,yìzhì ,N,,
一致,yīzhì ,Vs,,
擁抱,yŏngbào ,V,,
用不著,yòngbùzháo,Adv,,
用處,yòngchù,N,,
用得著,yòngdezháo,Vs,,
擁護,yŏnghù ,V,,
擁擠,yŏngjĭ ,Vs,,
用具,yòngjù ,N,,
用力,yònglì ,Vs-sep,,
勇氣,yŏngqì ,N,,
用心,yòngxīn ,Vs-sep / N,,
由,yóu ,Prep,,
油,yóu ,Vs,,
郵差,yóuchāi ,N,,
有關,yŏuguān ,Prep / Vs,,
友好,yŏuhăo ,Vs,,
優惠,yōuhuì ,Vs,,
有力,yŏulì ,Vs,,
有利,yŏulì ,Vs,,
優良,yōuliáng ,Vs,,
優美,yōuměi ,Vs,,
油膩,yóunì ,Vs,,
有些,yŏuxiē ,Adv / Det,,
遊行,yóuxíng ,Vi,,
猶豫,yóuyù ,Vs,,
憂鬱,yōuyù ,Vs,,
優越,yōuyuè ,Vs,,
遇,yù ,Vst,,
願,yuàn ,Vst,,
原本,yuánběn,Adv,,
遠大,yuăndà ,Vs,,
元旦,yuándàn ,N,,
緣故,yuángù ,N,,
原來,yuánlái ,Vs-attr,,
原理,yuánlĭ ,N,,
原料,yuánliào ,N,,
圓滿,yuánmăn ,Vs,,
原始,yuánshĭ ,Vs,,
冤枉,yuānwăng ,Vs / Vst,,
原先,yuánxiān ,Adv,,
圓形,yuánxíng ,N,,
原則,yuánzé ,N,,
原則上,yuánzéshàng ,Adv,,
原子筆,yuánzĭbĭ ,N,,
預報,yùbào ,N,,
語調,yŭdiào ,N,,
預定,yùdìng ,V,,
預訂,yùdìng ,V,,
月分,yuèfèn ,N,,
月光,yuèguāng ,N,,
月球,yuèqiú ,N,,
預計,yùjì ,Vaux,,
遇見,yùjiàn ,Vpt,,
娛樂,yúlè ,N,,
暈,yūn ,Vs,,
運輸,yùnshū ,V,,
運送,yùnsòng ,V,,
允許,yŭnxŭ ,V,,
運用,yùnyòng ,V,,
運轉,yùnzhuăn ,Vi,,
與其,yŭqí ,Conj,,
語氣,yŭqì ,N,,
預算,yùsuàn ,N,,
預先/預,yùxiān/yù,Adv,,
語音,yŭyīn ,N,,
砸,zá ,V,,
雜,zá ,Vs,,
載,zài ,V,,
再度,zàidù ,Adv,,
災害,zāihài ,N,,
在乎,zàihū ,Vst,,
災難,zāinàn ,N,,
再三,zàisān ,Adv,,
再說,zàishuō ,Conj,,
贊成,zànchéng ,Vst,,
葬禮,zànglĭ,N,,
讚美,zànměi ,V,,
咱們,zánmen ,N,,
贊同,zàntóng ,Vst,,
造,zào ,V,,
糟,zāo ,Vs,,
早晨,zăochén ,N,,
遭到,zāodào ,Vpt,,
糟糕,zāogāo ,Vs,,
造句,zàojù ,V-sep,,
遭受,zāoshòu ,Vst,,
早晚,zăowăn ,Adv,,
早已,zăoyĭ ,Adv,,
遭遇,zāoyù ,N,,
則,zé ,Adv / M,,
怎,zěn ,Adv,,
贈,zèng ,V,,
贈品,zèngpĭn ,N,,
贈送,zèngsòng ,V,,
增長,zēngzhăng ,Vst,,
窄,zhăi ,Vs,,
占/佔,zhàn ,V / Vst,,
戰場,zhànchăng ,N,,
展出,zhănchū ,V,,
漲,zhăng ,Vp,,
張,zhāng ,V,,
章,zhāng ,M,,
長輩,zhăngbèi,N,,
帳單,zhàngdān ,N,,
丈夫,zhàngfū ,N,,
漲價,zhăngjià ,Vp-sep,,
張開,zhāngkāi ,V,,
掌聲,zhăngshēng ,N,,
展開,zhănkāi ,V,,
展覽,zhănlăn ,N / V,,
展示,zhănshì ,V,,
占有/佔有,zhànyŏu ,Vst,,
站住,zhànzhù ,Vi,,
照,zhào ,Adv,,
照常,zhàocháng ,Vs,,
招呼,zhāohū,V,,
召開,zhàokāi ,V,,
招手,zhāoshŏu ,V-sep,,
折,zhé ,V,,
者,zhě ,N,,
折合,zhéhé ,Vst,,
折扣,zhékòu ,N,,
折磨,zhémó ,V,,
陣,zhèn ,M,,
針,zhēn ,N,,
震動,zhèndòng ,Vi,,
針對,zhēnduì ,Prep,,
正,zhèng ,Vs,,
整,zhěng ,N / Vs,,
爭,zhēng ,V,,
睜,zhēng ,V,,
政策,zhèngcè ,N,,
政黨,zhèngdăng ,N,,
正方形,zhèngfāngxíng ,N,,
政府,zhèngfŭ ,N,,
正規,zhèngguī ,Vs-attr,,
證件,zhèngjiàn ,N,,
整潔,zhěngjié ,Vs,,
正經,zhèngjīng,Vs,,
證據,zhèngjù ,N,,
爭論,zhēnglùn ,V,,
正面,zhèngmiàn ,N,,
證明,zhèngmíng ,N,,
徵求,zhēngqiú ,V,,
爭取,zhēngqŭ ,V,,
證實,zhèngshí ,Vpt,,
整數,zhěngshù ,N,,
整體,zhěngtĭ,N,,
正月,zhēngyuè ,N,,
症狀,zhèngzhuàng ,N,,
偵探,zhēntàn ,N,,
珍惜,zhēnxí ,Vst,,
真心,zhēnxīn ,N,,
珍珠,zhēnzhū ,N,,
陣子,zhènzi ,N,,
只,zhĭ,M,,
止,zhĭ,Vs,,
直,zhí ,Adv,,
值,zhí ,Vst,,
擲,zhí ,V,,
治,zhì ,V,,
至,zhì ,V,,
之,zhī ,N / Ptc,,
支持,zhīchí ,V,,
指出,zhĭchū ,Vpt,,
支出,zhīchū ,Vpt,,
指導,zhĭdăo ,V,,
制定/制訂,zhìdìng ,V,,
指定,zhĭdìng ,V,,
之間,zhījiān ,N,,
之類,zhīlèi ,N,,
支票,zhīpiào ,N,,
志氣,zhìqì ,N,,
只是,zhĭshì ,Adv,,
指示,zhĭshì ,N / V,,
職位,zhíwèi ,N,,
直線,zhíxiàn ,Adv,,
執行,zhíxíng ,V,,
秩序,zhìxù ,N,,
志願,zhìyuàn ,N,,
支援,zhīyuán ,V,,
製造/製,zhìzào/zhì,V,,
指責,zhĭzé ,V,,
紙張,zhĭzhāng ,N,,
制止,zhìzhĭ,V,,
製作,zhìzuò ,V,,
中,zhòng ,Vp,,
重,zhòng ,Vst,,
腫,zhŏng ,Vs,,
中,zhōng ,Vs-attr,,
重大,zhòngdà ,Vs,,
中毒,zhòngdú ,Vp-sep,,
中級,zhōngjí ,N,,
種類,zhŏnglèi ,N,,
重量,zhòngliàng ,N,,
中年,zhōngnián ,N,,
重傷,zhòngshāng ,N / Vs,,
中途,zhōngtú ,N,,
重心,zhòngxīn ,N,,
中央,zhōngyāng ,N,,
中藥,zhōngyào ,N,,
種子,zhŏngzĭ ,N,,
種族,zhŏngzú ,N,,
州,zhōu ,N,,
周,zhōu ,M,,
週,zhōu ,M,,
粥,zhōu ,N,,
周到,zhōudào ,Vs,,
竹(子),zhú(zi),N,,
賺,zhuàn ,V,,
轉,zhuăn ,V / Vp,,
轉變,zhuănbiàn ,Vpt,,
轉播,zhuănbò ,V,,
轉達,zhuăndá ,V,,
壯,zhuàng ,Vs,,
撞,zhuàng ,V,,
轉告,zhuăngào ,V,,
狀況,zhuàngkuàng ,N,,
裝飾,zhuāngshì ,V,,
轉機,zhuănjī ,Vi,,
專家,zhuānjiā ,N,,
專利,zhuānlì ,N,,
專門,zhuānmén ,Vs,,
專人,zhuānrén ,N,,
轉身,zhuănshēn ,Vi,,
轉向,zhuănxiàng ,V / Vi,,
專業,zhuānyè ,N,,
主辦,zhŭbàn ,V,,
註冊,zhùcè ,V-sep,,
主持,zhŭchí ,V,,
主觀,zhŭguān ,Vs,,
祝賀,zhùhè ,V,,
住戶,zhùhù ,N,,
追,zhuī ,V,,
逐漸,zhújiàn ,Adv,,
主角,zhŭjué,N,,
准,zhŭn ,V,,
準,zhŭn ,Vs,,
准考證/准考証,zhŭnkăozhèng ,N,,
準確,zhŭnquè ,Vs,,
捉,zhuō ,V,,
桌,zhuō ,M,,
注射,zhùshè ,V,,
主席,zhŭxí ,N,,
住院,zhùyuàn ,V-sep,,
住宅,zhùzhái ,N,,
主張,zhŭzhāng ,N / V,,
紫,zĭ ,Vs-attr,,
資本,zīběn ,N,,
資格,zīgé ,N,,
資金,zījīn ,N,,
自來水,zìláishuĭ,N,,
字幕,zìmù ,N,,
字母,zìmŭ ,N,,
子女,zĭnǚ ,N,,
自然,zìrán ,N,,
自私,zìsī ,Vs,,
自我,zìwŏ ,N,,
自信,zìxìn ,Vs,,
資訊,zīxùn ,N,,
自願,zìyuàn ,Vs,,
自主,zìzhŭ ,Vs,,
總共,zŏnggòng ,Adv,,
綜合,zònghé ,V / Vs-attr,,
總理,zŏnglĭ ,N,,
走道,zŏudào ,N,,
走私,zŏusī ,V,,
足,zú,Vs / Det,,
組,zŭ ,V,,
阻礙,zŭài ,V,,
鑽,zuān ,V,,
鑽石,zuànshí,N,,
足夠,zúgòu,Vs,,
祖國,zŭguó ,N,,
罪,zuì ,N,,
最少,zuìshăo ,Adv,,
遵守,zūnshŏu ,Vst,,
尊重,zūnzhòng ,Vst,,
作家,zuòjiā ,N,,
做客/作客,zuòkè ,Vi,,
作為,zuòwéi ,Vst / N,,
作用,zuòyòng ,N,,
足以,zúyĭ ,Vaux,,
阻止,zŭzhĭ,V,,
組織,zŭzhī ,N / V,,
